live_id,live_name,cover_path,artist,level,author
Pgh83M0bHo4TcTXW,VIIIbit Explorer,fwto5LLcRB5F.png,Lime,13,Dororo
yOZaV8josjfwMIAo,Jumble Rumble,84IsxC3DIIRc.png,INNOCENT NOIZE,12,Dororo
VZIL86KmgYtzooEE,心臓を捧げよ! (TV Size),LaeYCn2DgtQH.jpg,Sound Horizon,9,灵风之迷城
eMjifmOXvoD0tGtX,PRAGMATISM,yaTVPnl2nUxL.png,Laur,12,Dororo
kMuyM05y6pveVf3g,My First Phone,WyifxFC6P0qU.png,cubesato,12,Dororo
nStsaKpYDnMIqd8P,戦闘！チャンピオンアイリス,i7Ey2VeKAf0O.png,佐藤仁美,12,Dororo
JNXQALHBSWWIJTQV,太阳曰く燃えよカオス,6a14345c121a4e95e3957c6656b494a8.jpg,奈亚子（阿澄佳奈）、克子（松来未佑）,10,小泉花陽
ASLHMIGEULRGEBXZ,ぷわぷわーあ！,fb9cbd9f9d72062a086c0934c19af47d.jpg,Printemps,12,小泉花陽
5vNyJpxOJ23tslzP,不浄な白い鳥,Ec2a3Li7AcZg.png,MIssionary,12,Dororo
lO2fqs7MxnYbQZdM,Right Now,T2UWzaxV9Otb.jpg,井筒昭雄;,10,Dororo
tapNW59naxwNchem,Turnstile Jumper,lLsK0nem87Yq.png,Frums,13,Dororo
I5tdtPeGN2MnzxTK,Blew Moon,yX9bu8nEziaf.png,t+pazolite,12,Dororo
jf6Qn3DtRIAsf6Lx,永久の宴,WHKVVT03xQqv.jpg,YUC'e,10,灵风之迷城
TPIMCXCHEMPQMTSS,2NE1-Crush (Hard),8c0c5b3808153e74c576b77b49417224.jpg,2NE1,9,BlackZero
qdshb6UkAgTNbr74,デート・ア・ライブ,f1H9nJyYkr9z.jpg,sweet ARMS（野水伊织、富樫美铃、佐土原香织、味里）,10,星陨星陨星
fKw6I3Uok6nvj0zc,虹,ubua0wP8fJHK.png,ゆず Feat.神谷奈緒（CV：松井恵理子） 北条加蓮（CV：渕上舞）,11,Dororo
DOHQMSXOTJDJXDRZ,孤独なheaven(自制),9ce8947294d1fff7452baf841c69af23.jpg,小泉花陽(CV.久保ユリカ),9,告白
eerzb5QHaBByj0dh,many universes,LX0yZShsPST8.png,yanaginagi,9,Akirawww
bDVLu2Dd2Zs59kt1,Valhalla:0,dMinEkUPoe55.jpg,Juggernaut.,12,生之如舟舟
7qDblUKdCKu6uZCt,pure girls project（自制）,xJ3QZm742RTN.jpg,μ's,10,灵风之迷城
tR2LaZP4iOCLadu9,Erosion Mark,a7kkNAys0fKy.png,kors k REASM Des-ROW,12,Bluff
MrBlodMmN9il9NsY,felys -final remix-,C2o3opEqFzyl.png,onoken,12,Dororo
hGa9hKtE3xtIzHBD,Sanctuary,0DJB2oO0S5j9.jpg,うたの☆プリンスさまっ♪,9,ryamarryn
4pI6HVTIZYnX8wMP,Please,tldLaczWN7cs.jpg,R300K,13,cyh0613
9AKkNbYXB2n2S3Y3,Mutation,a6iiCx9GB7W6.png,Laur,14,Dororo
NHUQXWGYXWPQJOFY,【遗产】The Dirty of Loudness,1a1e8e9169a1e12544d3529e274de605.jpg,Tatsh Assault X,17,跌坑
unASidxkstexCXFb,THE OPENING THEME OF ''PROFESSOR LAYTON VS GYAKUTEN SAIBAN'',gRH5vv91ZtmJ.jpg,西浦智仁,11,Dororo
WHFOHIHFVKXNYUFW,ニッポン笑顔百景（Expert）,74a3839d308ab500ece15d877f425e0a.jpg,桃色幸运草Z,12,EliAyase
9xwF8z3WRoPksFPW,"Sqlupp (Camellia's ""Sqleipd*Hiytex"" Remix)",oRFDqJZuJcdA.png,owl＊tree Remixed by Camellia,14,Dororo
jW4SXUkrzGegAAIR,45秒で何ができる,NgPLpJTZH9Ec.png,初音ミク/GUMI,10,Starships
cH7AnuxqVVOBxMVJ,Ocean Abyss,uhfUko6tmq6L.jpg,EBIMAYO,12,Dororo
LrctlCPzvIXQzZ4x,非実在青少年,wziOm8f5CFBE.jpg,いとうかなこ,9,Akirawww
Q69gvHoJrc2HjuM8,夢をかなえてドラえもん,BJ7rJHZxtcCZ.png,黑须克彦 FEAT.mao,9,Dororo
41nnuiIpDQmZ1HUM,ミライボウル,7jmX6tSzuNRx.jpg,Momoiro Clover,10,AnnyQueen
HYVREQWZFOAJQYXS,神经病之歌,b2461f7ef76afee6598858421fa5fddc.jpg,原作：ilem / 翻唱：A路人&KBshinya,12,EliAyase
Sqmad2SvRu143i3a,POSSESSION,znLbLiWYPQPz.jpg,TAG,13,AnnyQueen
DC4BiXrFRf4H846D,割れたリンゴ,vuA4ZQkmZpXg.jpg,種田梨沙,11,tosaka
