live_id,live_name,cover_path,artist,level,author
K2UtDSAhL0qQ826Z,no brand boys,KKoEzDwSl0uP.jpeg,no brand girls,4,mikon
FJDXoakOttVvyeY4,Two of us,kD2VYKxFMAe7.jpg,戸松遥,6,施斯・彩璧
K2ETZhB1xPAxYNd0,旅人の唄 ～帰郷～,MIMlnptfsYxZ.jpg,大原ゆい子,3,施斯・彩璧
2LfgjOIonqELaGoS,ユメノトビラ（桜内梨子 solo ver.）,jkKWrjH95GT2.jpg,μ's,7,littlefrog
mA9LvR3Tz8YxB0sz,Premiere's Theme,Y9fXPMvVFcAr.jpg,藤枝亮平 & とくさしけんご,5,施斯・彩璧
690LdyV6QfAw8Rnn,【Event】昏睡レイプ！野獣と化した先輩,oVC7rhjkahkB.jpg,田所浩二,41,LLP_Official
KJPYmqciDjcJdqAh,【EASY】葬歌,MX2WUzWsFtrB.jpg,ilem,4,野兽先辈
VURILSZNJMPCCESK,Intro - intro,accf30f5b44891d68ef68be689ddb009.jpg,M2U（申东辉）,4,小泉花陽
31K7tuPX1Mk19cKI,100%サイダーガール,DGFMflKr6qnR.jpg,petit milady,4,Leafa
AhNbVCDkHRQH5mN0,【April Fool】今ぞ♡崇め奉れ☆オマエらよ！！,pCqVyi9omOBd.jpg,あべにゅうぷろじぇくと feat. 佐倉紗織　produced by ave;new,41,温泉むすめ
Ud2ve4r3J147k6Xr,Nemure,1838da17bee0.jpg,3nd,6,ruhua
cm3NSR80J32Tp5kO,The New World,lUh36J7Xqv2p.jpg,Cranky,1,施斯・彩璧
745gNQHrQDurxWeL,花の頁,NWfpt0x78wcO.jpg,鈴湯,7,d4054305
HxTWddIwQIbFy1Lv,桜色の夢,knBnZ2x0SrLd.jpg,温子捷 · 马场克树  vocal：土歧千寻,8,MAMUS
KFQ62wJxNP9eW31A,【April Fool】初音ミクの激唱,SCJKx1gTh47q.jpg,cosMo@暴走P,33,温泉むすめ
LS3cC7hFi7cIl20L,【April Fool】ピアノソナタ「熱情」第3楽章,uOEM0WmABj7b.jpg,ベートーヴェン,-3,温泉むすめ
EGXhrNL9UMujMFvf,全世界共通リズム感テスト,CiQenY2CTSUD.png,maimai,-11,DeadSquare
8jrEYP5atkRy5a6f,[Easy]永夜抄　～ Eastern Night.,TcpUQCnBiucK.jpg,上海アリス幻乐団,4,KimuraKizu
B5qIc3ROeljCSuIO,My Dearest Song 【BASIC】,04Euqhn7Fz4Q.jpg,月鈴白奈 (CV: 高野麻里佳),5,施斯・彩璧
ixO3lGRAAg6gupDD,祈りの唄,Hxy0SIslu8xF.jpg,大原ゆい子,4,施斯・彩璧
d1GESdmdk1whdi3d,START:DASH!! (Prepro Piano Mix by Maki）,ga2gltPMHV7Y.jpg,Pile,9,littlefrog
9trbVYChIwDy4dwK,遠くの子守の唄,Qw264Z9SA7sG.jpg,大原ゆい子,6,施斯・彩璧
ji89YdlrHvYT6BXU,ごぶんのいち,m2R0HIUKELum.jpg,中野家の五つ子,5,施斯・彩璧
PErl3HUEbU90GAvy,潮鸣り【EASY】,4HRKku0m0NmP.jpeg,折戸伸治,6,非洲土著
