live_id,live_name,cover_path,artist,level,author
RhCpl4eu9UaQ8tIs,wings of piano,li8UGQGIVsHR.jpg,V.K克,10,水其可可啊
llo9FF9VhzKPZTRk,逐渐加快,0TPRWcJlga3U.jpg,40MP(vocal:紫苏九月),10,空瞳画家
A0wldSXd0wVHuJw3,Relax In The City,RSGLn4HWfIFu.jpg,Perfume,8,sunrainbow
SLfbcJ8uSxVMQ4bd,Shining in the worlds,a5KmKV3pT234.jpg,アリス、キリト、アスナ、リーファ、シノン、ユージオ,9,施斯・彩璧
IUADILCTURUKZLCS,baby maybe 恋のボタン,90c9911fd441f154933297a62096ff43.jpg,μ's ,10,小泉花陽
xCYvBM1MJdwrK3L7,Welcome トゥ 混沌(カオス) 【ADVANCED】,2mDaXQinRWsK.jpg,(K)NoW_NAME,9,施斯・彩璧
SS6lXesFsh64wbBQ,Summer in Kagome,wxBCemHo3fEH.png,佐藤仁美,9,Dororo
ty7vJnlljY8pwvgr,God is a girl(Remix Version),H7EBGLrpWV4t.jpg,Groove Coverage,9,天坑君
UH2C9YhWm2SutGgT,GRADUATION COLOR,UBT6wZB3OnDY.png,天使真央（内田真礼）,7,ajlsunset
7pL6y38sNAUZ1lVa,DEAR SNOW,a51riEdMBM3Q.jpg,ARASHI,8,言葉光__
w9DVRH57Kr8cj1If,時の流れに身をまかせ,In00aEJtgKco.jpg,邓丽君 ゆう十,9,silverdemon
bMWMF4zDEz9SKuvz,Heartache,WfzDf48A8Ppj.png,Toby Fox,11,gumshoe
ZWHiijbYh6kmGt1y,Imprinting[HD],fkAU8cUuzqxT.png,fairythm,9,qimoxiaoguo
Buse4qoqKLg7XhJM,Sync,kx44FNt8PyEb.jpg,lol,10,空瞳画家
RqsMOmrH5CYzfmhz,桜のドアを,PracvGS1BFC5.jpg,petit milady,9,Leafa
77Gbx2bj6KxpAjOi,angel song,c8M9E5Z4N4mB.jpg,pile,10,依协莉丝
