live_id,live_name,cover_path,artist,level,author
xOEAniyvc5kShBUf,TiamaT:F minor,vhXecII2o8UR.jpg,Team Grimoire,14,rnaaa
ChadxDkrhYP7YYcG,MAGNETAR GIRL,3SdGzxAEcQPy.jpg,Yu-dachi,13,施斯・彩璧
gI5HJQAAXNSJT8Cc,無人区-Vacuum Track#ADD8E6-,G1ZWnqcuoXx8.jpg,NoKANY,13,Oracle
6wfZEWz9G4tKSfJ1,恋と花火 [5k Master+],gjAtWzorVu80.jpg,月のテンペスト,13,IDOLY PRIDE
3mCrU2fdHVWns2vh,Take long way home,Mqes4KlRTe3n.png,RiraN,14,Oracle
w4Madlh2nLGVWeGP,Hellfire GRV,5gtg6PI3uprk.jpg,Hommarju,13,手PA无敌
V4pZgtX8T15zAGDN,"夏色えがおで1,2,Jump!(master)[自制]",ITStshFGQMFe.jpg,μ's,10,oscar865
Z0kud2AUiR0knvgc,月光乱舞【GRV】,55tsbZJjtyAD.png,P*Light,13,Black seal
yfBMW1BL0Sh2PAdK,Strawberry Trapper（master）[自制],U300g1GKdh34.jpg,Guilty Kiss,12,oscar865
Esb0t2wNQDruAE2t,Wonderful Rush MASTER(搬运),HZIaBFQIUBe0.jpg,作詞：畑 亜貴 作曲、編曲：河田貴央,11,wingyintang
roUYk2GITtyF2roe,Chrono Diver -PENDULUMs-,mXL3EWplZB1s.png,猫叉L.E.D.Master+,20,RUKINOSAKI
AYjXYrtdYwvLmVs0,ultra-blazures,Dgjdru2JG0x6.png,Frums,13,施斯・彩璧
14JAk3XD5uEM4fAY,Far Away Light,RB4sg6sH69rK.jpg,technoplanet feat. はるの & 黒沢ダイスケ,13,施斯・彩璧
OOeiJkqaHxFqFmTZ,Preserved Valkyria,Zfc1ULMWIOOT.jpg,ぺのれり,13,niconiconi
5gzn36sKcFuBTR8K,天国と地狱,EF9o3QW0JQ6l.jpg,Mutsuhiko Izumi,13,Hyacinths
qQXALB0ITjKEnEvl,Absolute Domination【多指運用】,PhwLFiemsKKV.png,Laur,13,Black seal
eusn8keGn40vzAG7,撩乱乙女†無双劇,RyBBLmQjo1Xc.jpg,⊿TRiEDGE [高瀬梨緒 (久保ユリカ)、結城莉玖 (朝日奈丸佳)、藍原椿 (橋本ちなみ)],13,施斯・彩璧
XfsFYAnKMOP5Ht0V,远野幻想物语(MRM remix),EIfxOxXan4HP.png,モリモリあつし,12,空瞳画家
tJ8nLzdTzo26jBkQ,Re:End of a Dream,XnPCGpQ2yXAI.png,uma vs. モリモリあつし,13,Black seal
EkUMmm1antlVO29t,FREEDOM DiVE↓,sEsRKADgCSpY.jpg,Xi,13,oscar865
1i88oMnsatzVsfOs,初めての恋が終わる時,LThYlod8KpgP.jpg,初音ミク/ryo,11,颜艺妮与补水鸟
kPsj1fsfMKhRITD7,Red Horse Massacre,EzRtzUSVXBOf.png,Missionary,12,Oracle
wbghSEDFFCPA9gCc,Sakura Mirage,EK6qZPnBoq3i.png,Ryu☆,13,小泉花陽
8XGQWuhV4AoeAcMI,Angel dust,mSVViFPqftJp.png,Lv.4,13,rnaaa
w7QGW6VAoryaxf3b,月下儚美 [5k Master+],sL9I3OigWYA8.jpg,月のテンペスト,13,IDOLY PRIDE
corxpRJan9iuBdsJ,Go Beyond!!(HARDENED),8oSv5mUdLDaC.jpg,Ryu☆ Vs. Sota,13,oscar865
4aACqDHMVELnwv6R,No title,2gdy7EvxM4OW.jpg,Reol,12,神亚是死宅
ailjHJeVqUPGix8F,Chrono Diver -PENDULUMs-【EXTREME】,2f3cFYlk765t.jpg,猫叉L.E.D.Master+,13,niconiconi
WSFNjn8cf03jRCCf,BroGamer,bRWvXxOe5k7i.jpg,USAO,14,rnaaa
G5mOKhlX8Foq8N6z,アポカリプスに反逆の焔を焚べろ,sxSKRxYvcq2Q.jpg,cosMo＠暴走AlterEgo,14,施斯・彩璧
eySEckXR8uinfT20,ピアノ協奏曲第1番“蠍火”,p4sOj2e0Kdln.jpg,virkato,17,施斯・彩璧
Sqg97ASonfoMuTtl,Op.I《fear-TITΛN-》,FUhVHJpnMgKm.jpg,xi vs かねこちはる,15,施斯・彩璧
mnOeJSm0ZYiN4liy,VISION【GRV】,qQk8p3p9Mn5t.jpg,nora2r,13,cyh0613
4VmczuK3oN4D9oW0,song for you [5k Master+],JfJohVgIumOd.jpg,サニーピース,13,IDOLY PRIDE
ZCVFKLCISSIFZPIQ,きたさいたま2000,ea1702d1934490d62478329af77a10d3.jpg,LindaAI-CUE（BNGI）「太鼓の達人」より,13,咱不触不敢说话
udULTgBcK44ZSG71,BSPower Explosion,saF6c5wlh35d.jpg,MEMME,14,天坑君
XqUKJOCqfqric8Ff,Moon-Gate,p6l5zl7bIRo5.jpg,Shiraishi,13,cyh0613
2FHcM2vQYeA1BvPQ,MagiCatz,2GxCbhcobecD.png,Sakuzyo,13,littlefrog
2K0VMBG98TWwtoHP,Stand Alone Beat Masta【ADV】,uJQQIqCIEQO2.jpg,GUHROOVY,14,小泉花陽
Lvjx63qUmrFWvPnz,Ringing Bloom,2CfDtIivSAz8.jpg,Roselia,13,施斯・彩璧
FUmHZ1QRyjaX20N3,TOKIMEKIエスカレート(2nd EDITION),7FkIHNLVEeO2.jpg,城ヶ崎美嘉(佳村はるか),12,RUKINOSAKI
zGzyI1xC3rk5BHfE,セイレーン ～悲壮の竪琴～,AQDX0dvb9cJH.png,ぺのれり,13,Black seal
LBU4CigJYrXMl02s,Grievous Lady【Future】,2P2h7NjpZQhX.jpg,Team Grimoire VS Laur,15,小泉花陽
BMHQDNCAQIQPUCOC,混沌天堂-EX,9722f7795243f3c6161590665be72ac3.jpg,RYO,14,天坑君
8s7SlJSBfqKKpVW6,Platinum,sAWugJdZDAuC.jpg,jioyi,12,oscar865
zPILadJTaZokWXN0,baby maybe 恋のボタン(master)[搬运],TXaxTCgI3ai0.jpg,μ's,11,oscar865
0zPXloYNTPkdUtNA,TIEFSEE-RealEX,448a35f50b45.png,SOUND HOLIC Vs. dj TAKA,13,小泉花陽
17x7YPuy43ojlzqd,これからのsomeday（master）[自制],SQJv42plStjt.jpg,μ's,12,oscar865
FOrPSeMIq89QTRq8,Chelly spLash♪♪,JPH0DpDTBeDz.png,まらしぃ,12,施斯・彩璧
vR87W8WZzQUbNqBM,Re：End of a Dream,L0mckiwcema2.jpg,uma vs. モリモリあつし,13,niconiconi
GVxnOUu7yBd070Iy,紅き魔汁、闇より降りて天啓の響きを導く,dz5MjkkQ1sG1.jpg,月鈴白奈 (CV: 高野麻里佳),12,施斯・彩璧
nDteFoMl8h134TFL,otorii INNOVATED -[i]3-,ue7gYB8Nv3Xv.jpg,NAOKI underground,15,niconiconi
lJxRhrbqpmuOLdde,ΕΛΠΙΣ,oQrHZs8frd8U.jpg,dj TAKA,13,小泉花陽
FpJsW9uWTQp8I668,Grayed Out -Antifront-,KJXbfiDEDFh4.jpg,Getty vs. DJ DiA,14,rnaaa
qjQuUJfl5XojsAwK,Against the vulgar aggressor,lcOI4hXL7ONO.png,GUHROOVY,14,小泉花陽
v3dQrTwiciJBRwRi,猛進ソリストライフ！ 【Re:MASTER】,e5nAs1Fa0dUh.jpg,月鈴那知 (CV: 今村彩夏),13,施斯・彩璧
lAd4UuE1z4QrVjvk,End Time【Master】,XpLCJviGGn1W.jpg,Cres,15,野生maki
mu7XUsnUatWuJ3QN,Libra,h2b8eePo6J6X.png,MIssionary vs Mimineko,13,Oracle
FOMMFHBxiRJR5gII,怒槌,yH2yTS1UtiVV.png,光吉 猛修,14,niconiconi
zLm1vQ8phenwLtAA,"夏色えがおで1,2,Jump!(master)[搬运]",Pk5w8I9RrraG.jpg,μ's,12,oscar865
EpztfaIPcRLtkRiZ,Change Our MIRAI! (Our 7 Lights),uDTHZ97j1VPm.jpg,イロドリミドリ,13,施斯・彩璧
Y9gXCBHngfoXOMzE,Ops:Code-Rapture-,RZXqZkHWGRcC.png,Getty vs. DJ DiA,13,rnaaa
RL8xf3M9BVYSjYwx,X-TREME 6,JGePYXAJqnDw.png,元祖ボーイズ男子ボーイズ,14,小泉花陽
Ei4zREU58zbb4ucZ,macrocosmos,NY152PcLQaZR.jpg,LeaF,16,施斯・彩璧
o9MzrlRvZqJfPlci,RAIN,CWdxZQSwH0Bt.png,dj TAKA,15,RUKINOSAKI
QA4ca2uKm4By7HDA,Black Lair,uOTHPPZaqFip.png,削除/void,13,rnaaa
qCp9tvxbv1Xm7845,鬼天,cpnfINealIIb.png,兎々,13,MAMUS
BU1qvDu48ydc1bmY,Defended,W5fcL5OIDYIQ.png,BlueWinD×UN1CODE,13,Oracle
9Xu1wkx6Hw5BD2I8,Our Faith (Faithful MTL Remix),SLlIWyXncK73.jpg,kors k,13,小泉花陽
